12900,PULASKI,100TH STREET,PULASKI + 100TH STREET,37.80000,23.70000,2012-10-01,53A,152
12859,PULASKI,65TH STREET,PULASKI + 65TH STREET,20.20000,69.30000,2012-10-01,53A,152
12858,PULASKI,64TH STREET,PULASKI + 64TH STREET,16.90000,40.70000,2012-10-01,53A,152
15884,PULASKI,83RD STREET,PULASKI + 83RD STREET,18.70000,72.50000,2012-10-01,53A,152
12851,PULASKI,54TH STREET,PULASKI + 54TH STREET,87.70000,53.50000,2012-10-01,53A,152
12850,PULASKI,53RD STREET,PULASKI + 53RD STREET,55.40000,33.30000,2012-10-01,53A,152
12853,PULASKI,57TH STREET,PULASKI + 57TH STREET,20.50000,55.10000,2012-10-01,53A,152
12852,PULASKI,56TH STREET,PULASKI + 56TH STREET,44.40000,58.30000,2012-10-01,53A,152
12855,PULASKI,60TH STREET,PULASKI + 60TH STREET,18.20000,38.40000,2012-10-01,53A,152
12854,PULASKI,58TH STREET,PULASKI + 58TH STREET,43.70000,76.40000,2012-10-01,53A,152
12857,PULASKI,62ND STREET,PULASKI + 62ND STREET,64.50000,145.60000,2012-10-01,53A,152
12856,PULASKI,61ST STREET,PULASKI + 61ST STREET,14.90000,58.00000,2012-10-01,53A,152
4728,PULASKI,MARQUETTE RD,PULASKI + MARQUETTE RD,38.10000,156.30000,2012-10-01,53A,152
15225,PULASKI,43RD STREET,PULASKI + 43RD STREET,42.20000,26.70000,2012-10-01,53A,152
4724,PULASKI,59TH STREET,PULASKI + 59TH STREET,107.10000,143.20000,2012-10-01,53A,152
4726,PULASKI,63RD STREET,PULASKI + 63RD STREET,202.90000,222.70000,2012-10-01,53A,152
4722,PULASKI,55TH STREET,PULASKI + 55TH STREET,131.00000,95.80000,2012-10-01,53A,152
16062,115TH STREET,PULASKI,115TH STREET + PULASKI,0.50000,138.40000,2012-10-01,53A,152
14125,PULASKI/51ST,ORANGE LINE STATION,PULASKI/51ST + ORANGE LINE STATION,187.70000,55.30000,2012-10-01,53A,152
12918,PULASKI,70TH STREET,PULASKI + 70TH STREET,59.80000,8.20000,2012-10-01,53A,152
12919,PULASKI,69TH STREET,PULASKI + 69TH STREET,87.30000,19.60000,2012-10-01,53A,152
14124,PULASKI/51ST,ORANGE LINE STATION,PULASKI/51ST + ORANGE LINE STATION,812.40000,116.60000,2012-10-01,53A,152
12910,PULASKI,85TH STREET,PULASKI + 85TH STREET,28.90000,9.90000,2012-10-01,53A,152
12911,PULASKI,84TH STREET,PULASKI + 84TH STREET,76.10000,23.90000,2012-10-01,53A,152
12912,PULASKI,82ND STREET,PULASKI + 82ND STREET,23.10000,5.70000,2012-10-01,53A,152
12913,PULASKI,8000 SOUTH,PULASKI + 8000 SOUTH,13.40000,14.20000,2012-10-01,53A,152
12914,PULASKI,78TH STREET,PULASKI + 78TH STREET,61.10000,1.10000,2012-10-01,53A,152
12915,PULASKI,77TH STREET,PULASKI + 77TH STREET,54.60000,5.30000,2012-10-01,53A,152
12916,PULASKI,76TH STREET,PULASKI + 76TH STREET,107.00000,112.10000,2012-10-01,53A,152
12849,PULASKI,5200 SOUTH driveway,PULASKI + 5200 SOUTH driveway,76.10000,34.50000,2012-10-01,53A,152
12843,PULASKI,46TH STREET,PULASKI + 46TH STREET,36.10000,13.50000,2012-10-01,53A,152
12846,PULASKI,49TH STREET,PULASKI + 49TH STREET,38.00000,22.90000,2012-10-01,53A,152
12847,PULASKI,ARCHER,PULASKI + ARCHER,190.40000,123.50000,2012-10-01,53A,152
12844,PULASKI,47TH STREET,PULASKI + 47TH STREET,206.90000,88.70000,2012-10-01,53A,152
12845,PULASKI,48TH STREET,PULASKI + 48TH STREET,18.70000,12.50000,2012-10-01,53A,152
12877,PULASKI,93RD STREET,PULASKI + 93RD STREET,3.60000,24.00000,2012-10-01,53A,152
12876,PULASKI,92ND STREET,PULASKI + 92ND STREET,1.90000,16.70000,2012-10-01,53A,152
12875,PULASKI,8900 SOUTH,PULASKI + 8900 SOUTH,0.30000,0.90000,2012-10-01,53A,152
12874,PULASKI,MAIN (8800 SOUTH),PULASKI + MAIN (8800 SOUTH),2.90000,6.30000,2012-10-01,53A,152
12873,PULASKI,86TH STREET,PULASKI + 86TH STREET,9.80000,47.40000,2012-10-01,53A,152
12872,PULASKI,85TH STREET,PULASKI + 85TH STREET,5.40000,39.70000,2012-10-01,53A,152
12871,PULASKI,84TH STREET,PULASKI + 84TH STREET,10.60000,58.20000,2012-10-01,53A,152
12870,PULASKI,82ND STREET,PULASKI + 82ND STREET,5.00000,35.70000,2012-10-01,53A,152
17203,PULASKI,41ST STREET,PULASKI + 41ST STREET,10.00000,5.50000,2012-10-01,53A,152
17202,PULASKI,44TH STREET,PULASKI + 44TH STREET,22.10000,65.20000,2012-10-01,53A,152
12879,PULASKI,96TH STREET,PULASKI + 96TH STREET,1.60000,8.80000,2012-10-01,53A,152
12878,PULASKI,94TH STREET,PULASKI + 94TH STREET,12.60000,120.50000,2012-10-01,53A,152
4743,PULASKI,111TH STREET,PULASKI + 111TH STREET,7.20000,125.60000,2012-10-01,53A,152
4742,PULASKI,107TH STREET,PULASKI + 107TH STREET,1.90000,22.20000,2012-10-01,53A,152
4740,PULASKI,99TH STREET,PULASKI + 99TH STREET,11.20000,37.80000,2012-10-01,53A,152
17508,PULASKI/51ST,ORANGE LINE STATION,PULASKI/51ST + ORANGE LINE STATION,1330.00000,1760.80000,2012-10-01,53A,152
12860,PULASKI,66TH STREET,PULASKI + 66TH STREET,22.40000,96.30000,2012-10-01,53A,152
12861,PULASKI,68TH STREET,PULASKI + 68TH STREET,27.20000,102.80000,2012-10-01,53A,152
12862,PULASKI,69TH STREET,PULASKI + 69TH STREET,26.30000,107.00000,2012-10-01,53A,152
12863,PULASKI,70TH STREET,PULASKI + 70TH STREET,34.50000,132.80000,2012-10-01,53A,152
12866,PULASKI,76TH STREET,PULASKI + 76TH STREET,83.90000,73.00000,2012-10-01,53A,152
12867,PULASKI,77TH STREET (south leg),PULASKI + 77TH STREET (south leg),4.70000,31.70000,2012-10-01,53A,152
12868,PULASKI,78TH STREET,PULASKI + 78TH STREET,8.40000,98.80000,2012-10-01,53A,152
12869,PULASKI,8000 SOUTH,PULASKI + 8000 SOUTH,3.60000,11.80000,2012-10-01,53A,152
17292,PULASKI,74TH STREET,PULASKI + 74TH STREET,235.10000,21.60000,2012-10-01,53A,152
17293,PULASKI,36TH STREET,PULASKI + 36TH STREET,6.10000,3.10000,2012-10-01,53A,152
12899,PULASKI,101ST STREET,PULASKI + 101ST STREET,16.70000,6.40000,2012-10-01,53A,152
12898,PULASKI,102ND STREET (south leg),PULASKI + 102ND STREET (south leg),21.00000,15.50000,2012-10-01,53A,152
12895,PULASKI,106TH STREET,PULASKI + 106TH STREET,5.20000,0.90000,2012-10-01,53A,152
12894,PULASKI,108TH STREET,PULASKI + 108TH STREET,3.10000,0.40000,2012-10-01,53A,152
12897,PULASKI,104TH STREET,PULASKI + 104TH STREET,6.50000,2.10000,2012-10-01,53A,152
12896,PULASKI,105TH STREET,PULASKI + 105TH STREET,6.10000,1.60000,2012-10-01,53A,152
12890,PULASKI,110TH STREET,PULASKI + 110TH STREET,0.20000,8.40000,2012-10-01,53A,152
12893,PULASKI,109TH STREET (south leg),PULASKI + 109TH STREET (south leg),2.80000,0.80000,2012-10-01,53A,152
12892,PULASKI,110TH STREET,PULASKI + 110TH STREET,7.60000,0.40000,2012-10-01,53A,152
12949,PULASKI,32ND STREET,PULASKI + 32ND STREET,3.20000,261.50000,2012-10-01,53A,152
12948,PULASKI,3300 SOUTH RR CROSSING,PULASKI + 3300 SOUTH RR CROSSING,0.90000,27.30000,2012-10-01,53A,152
12943,PULASKI,41ST STREET,PULASKI + 41ST STREET,6.40000,8.00000,2012-10-01,53A,152
12942,PULASKI,42ND STREET,PULASKI + 42ND STREET,7.50000,19.80000,2012-10-01,53A,152
12946,PULASKI,34TH STREET (opp. 3400 S),PULASKI + 34TH STREET (opp. 3400 S),1.10000,4.50000,2012-10-01,53A,152
12945,PULASKI,36TH STREET,PULASKI + 36TH STREET,1.30000,8.40000,2012-10-01,53A,152
12944,PULASKI,3741 SOUTH,PULASKI + 3741 SOUTH,1.90000,3.80000,2012-10-01,53A,152
4693,PULASKI,115TH STREET,PULASKI + 115TH STREET,156.80000,1.60000,2012-10-01,53A,152
4695,PULASKI,107TH STREET,PULASKI + 107TH STREET,17.40000,2.80000,2012-10-01,53A,152
4694,PULASKI,111TH STREET,PULASKI + 111TH STREET,142.50000,16.50000,2012-10-01,53A,152
4697,PULASKI,99TH STREET,PULASKI + 99TH STREET,89.80000,6.80000,2012-10-01,53A,152
4696,PULASKI,103RD STREET,PULASKI + 103RD STREET,281.10000,26.20000,2012-10-01,53A,152
4699,PULASKI,91ST STREET,PULASKI + 91ST STREET,15.90000,3.60000,2012-10-01,53A,152
4698,PULASKI,95TH STREET,PULASKI + 95TH STREET,212.30000,50.30000,2012-10-01,53A,152
17446,PULASKI,83RD STREET,PULASKI + 83RD STREET,48.70000,13.00000,2012-10-01,53A,152
12211,PULASKI,103RD STREET,PULASKI + 103RD STREET,19.10000,256.20000,2012-10-01,53A,152
12950,31ST STREET,PULASKI,31ST STREET + PULASKI,14.70000,447.50000,2012-10-01,53A,152
12888,PULASKI,109TH STREET (north leg),PULASKI + 109TH STREET (north leg),0.20000,6.70000,2012-10-01,53A,152
12889,PULASKI,109TH STREET (south leg),PULASKI + 109TH STREET (south leg),0.00000,1.80000,2012-10-01,53A,152
12886,PULASKI,105TH STREET,PULASKI + 105TH STREET,1.10000,6.60000,2012-10-01,53A,152
12887,PULASKI,106TH STREET,PULASKI + 106TH STREET,0.60000,6.20000,2012-10-01,53A,152
12884,PULASKI,102ND STREET (north leg),PULASKI + 102ND STREET (north leg),4.10000,21.00000,2012-10-01,53A,152
12885,PULASKI,104TH STREET,PULASKI + 104TH STREET,1.80000,10.90000,2012-10-01,53A,152
12882,PULASKI,100TH STREET,PULASKI + 100TH STREET,2.40000,8.70000,2012-10-01,53A,152
12883,PULASKI,101ST STREET,PULASKI + 101ST STREET,1.70000,18.50000,2012-10-01,53A,152
12880,PULASKI,97TH STREET,PULASKI + 97TH STREET,3.70000,30.90000,2012-10-01,53A,152
12881,PULASKI,98TH STREET,PULASKI + 98TH STREET,1.30000,22.30000,2012-10-01,53A,152
4714,PULASKI,59TH STREET,PULASKI + 59TH STREET,134.50000,123.10000,2012-10-01,53A,152
4716,PULASKI,55TH STREET,PULASKI + 55TH STREET,131.70000,168.30000,2012-10-01,53A,152
4710,PULASKI,MARQUETTE RD,PULASKI + MARQUETTE RD,166.50000,47.20000,2012-10-01,53A,152
4712,PULASKI,63RD STREET,PULASKI + 63RD STREET,275.40000,268.70000,2012-10-01,53A,152
15890,BLACKHAWK,CHERRY,BLACKHAWK + CHERRY,20.90000,21.90000,2012-10-01,132,27
15891,CHERRY,BLISS,CHERRY + BLISS,0.10000,10.70000,2012-10-01,132,27
13181,CORTLAND,METRA STATION,CORTLAND + METRA STATION,178.20000,15.60000,2012-10-01,132,27
15347,HALSTED,CHICAGO,HALSTED + CHICAGO,227.20000,306.60000,2012-10-01,132,27
69,JACKSON,FINANCIAL PLACE,JACKSON + FINANCIAL PLACE,118.40000,185.40000,2012-10-01,132,27
7915,CLYBOURN,NORTH AVENUE,CLYBOURN + NORTH AVENUE,8.50000,5.80000,2012-10-01,132,27
5947,HALSTED,EVERGREEN,HALSTED + EVERGREEN,63.20000,92.20000,2012-10-01,132,27
15063,VAN BUREN,FINANCIAL PLACE,VAN BUREN + FINANCIAL PLACE,32.50000,138.50000,2012-10-01,132,27
5941,HALSTED,CHICAGO,HALSTED + CHICAGO,244.40000,192.30000,2012-10-01,132,27
7888,CLYBOURN,WISCONSIN,CLYBOURN + WISCONSIN,13.70000,3.10000,2012-10-01,132,27
5780,HALSTED,EVERGREEN,HALSTED + EVERGREEN,102.50000,86.50000,2012-10-01,132,27
16022,NORTH BRANCH,HALSTED,NORTH BRANCH + HALSTED,0.40000,20.60000,2012-10-01,132,27
16023,NORTH BRANCH,HALSTED,NORTH BRANCH + HALSTED,5.30000,0.90000,2012-10-01,132,27
16025,CHERRY,DIVISION,CHERRY + DIVISION,11.70000,0.10000,2012-10-01,132,27
16026,CLYBOURN,WISCONSIN,CLYBOURN + WISCONSIN,2.10000,9.10000,2012-10-01,132,27
4093,CORTLAND,KINGSBURY,CORTLAND + KINGSBURY,44.50000,35.10000,2012-10-01,132,27
5009,CANAL,ADAMS,CANAL + ADAMS,2433.60000,1613.10000,2012-10-01,132,27
5024,CLINTON,MADISON,CLINTON + MADISON,743.10000,176.20000,2012-10-01,132,27
15889,CLYBOURN,NORTH,CLYBOURN + NORTH,21.10000,11.90000,2012-10-01,132,27
15888,CHERRY,BLISS,CHERRY + BLISS,20.90000,1.30000,2012-10-01,132,27
74,CONGRESS PLAZA,MICHIGAN,CONGRESS PLAZA + MICHIGAN,138.80000,250.30000,2012-10-01,132,27
73,MICHIGAN,betw. VAN BUREN & CONGRES,MICHIGAN + betw. VAN BUREN & CONGRES,965.50000,921.50000,2012-10-01,132,27
5027,CANAL,MADISON,CANAL + MADISON,380.20000,316.60000,2012-10-01,132,27
17485,CHERRY,DIVISION,CHERRY + DIVISION,0.70000,12.20000,2012-10-01,132,27
4073,CORTLAND,KINGSBURY,CORTLAND + KINGSBURY,16.60000,53.20000,2012-10-01,132,27
5790,HALSTED,MILWAUKEE/GRAND,HALSTED + MILWAUKEE/GRAND,255.90000,268.70000,2012-10-01,132,27
15274,HALSTED,MILWAUKEE/GRAND,HALSTED + MILWAUKEE/GRAND,224.40000,217.60000,2012-10-01,132,27
5010,CANAL,MONROE,CANAL + MONROE,742.00000,71.00000,2012-10-01,130,36
316,ROOSEVELT,STATE,ROOSEVELT + STATE,322.20000,2370.90000,2012-10-01,130,36
12713,ADAMS,CANAL,ADAMS + CANAL,326.30000,2513.80000,2012-10-01,130,36
17046,ADAMS,CLARK,ADAMS + CLARK,274.60000,474.90000,2012-10-01,130,36
69,JACKSON,FINANCIAL PLACE,JACKSON + FINANCIAL PLACE,118.40000,185.40000,2012-10-01,130,36
80,ADAMS,WELLS,ADAMS + WELLS,343.90000,1172.20000,2012-10-01,130,36
17084,ROOSEVELT,MICHIGAN,ROOSEVELT + MICHIGAN,656.40000,89.30000,2012-10-01,130,36
17592,STATE,9TH STREET,STATE + 9TH STREET,77.20000,162.00000,2012-10-01,130,36
17590,STATE,POLK,STATE + POLK,160.20000,260.40000,2012-10-01,130,36
15362,ROOSEVELT,MICHIGAN/INDIANA,ROOSEVELT + MICHIGAN/INDIANA,53.90000,134.00000,2012-10-01,130,36
4593,SOLIDARITY DR,LYNN WHITE DRIVE,SOLIDARITY DR + LYNN WHITE DRIVE,19.70000,0.50000,2012-10-01,130,36
1113,STATE,VAN BUREN,STATE + VAN BUREN,1050.00000,630.40000,2012-10-01,130,36
4591,SOLIDARITY DR,AQUARIUM,SOLIDARITY DR + AQUARIUM,2.70000,280.70000,2012-10-01,130,36
4595,SOLIDARITY DR,AQUARIUM,SOLIDARITY DR + AQUARIUM,285.90000,7.50000,2012-10-01,130,36
17234,SOLIDARITY DR,LYNN WHITE DRIVE,SOLIDARITY DR + LYNN WHITE DRIVE,2.20000,27.30000,2012-10-01,130,36
16140,ROOSEVELT,GREEN/ORANGE/RED LINE,ROOSEVELT + GREEN/ORANGE/RED LINE,3192.10000,1777.50000,2012-10-01,130,36
5028,CANAL,RANDOLPH,CANAL + RANDOLPH,104.80000,7.70000,2012-10-01,130,36
5007,CLINTON,MONROE,CLINTON + MONROE,559.90000,358.40000,2012-10-01,130,36
5023,CLINTON,WASHINGTON,CLINTON + WASHINGTON,30.70000,217.60000,2012-10-01,130,36
5024,CLINTON,MADISON,CLINTON + MADISON,743.10000,176.20000,2012-10-01,130,36
5027,CANAL,MADISON,CANAL + MADISON,380.20000,316.60000,2012-10-01,130,36
